sample_index,time_s,sampled_value,quantized_value,quantizer_index,pcm_word
0,0.000000,0.382683,0.300000,9,1001
1,0.010000,0.649256,0.700000,11,1011
2,0.020000,0.852266,0.900000,12,1100
3,0.030000,0.971944,0.900000,12,1100
4,0.040000,0.996626,0.900000,12,1100
5,0.050000,0.923880,0.900000,12,1100
6,0.060000,0.760186,0.700000,11,1011
7,0.070000,0.522271,0.500000,10,1010
8,0.080000,0.233341,0.300000,9,1001
9,0.090000,-0.078440,-0.100000,7,0111
10,0.100000,-0.382683,-0.300000,6,0110
11,0.110000,-0.649256,-0.700000,4,0100
12,0.120000,-0.852266,-0.900000,3,0011
13,0.130000,-0.971944,-0.900000,3,0011
14,0.140000,-0.996626,-0.900000,3,0011
15,0.150000,-0.923880,-0.900000,3,0011
16,0.160000,-0.760186,-0.700000,4,0100
17,0.170000,-0.522271,-0.500000,5,0101
18,0.180000,-0.233341,-0.300000,6,0110
19,0.190000,0.078440,0.100000,8,1000
20,0.200000,0.382683,0.300000,9,1001
